split,source,gn,es
train,abc,"Ndikatúi ko'ágã peve Itaipú ha'éva oadministráva peteî empresa netamente brasileña, jepente osalva apariencia gestión paritaria binacional ojeguerekóvo umi formalidad burocrática omopyendáva Tratado.","Es inadmisible que hasta ahora Itaipú sea administrada como una empresa netamente brasileña, aunque salvando la apariencia de gestión paritaria binacional con las formalidades burocráticas establecidas en el Tratado."
train,abc,"Péva Brasil, Itaipú orekóva peteî matrimonio kakuaa ha orekóva conveniencia tetãme.","Para Brasil, Itaipú ha sido un matrimonio de enorme conveniencia con nuestro país."
train,abc,"H añetehápe ndaha'éiva filantropía rehe–oñembohorývo excanciller tetãme–, oîgui Paraguái ha'e peteî socio geográficamente indispensable.","Y ciertamente no por filantropía –como ironizó un excanciller de ese país–, sino porque Paraguay es un socio geográficamente indispensable."
train,abc,"Péicha umi mba'e, desafío orekóva Gobierno presidente Mario Abdo Benítez imandu'ávo Itaipu ojoajúva 2023 peve ko'ágã osê puntualmente simple: ombojojáse derecho oîva Artículo III del Tratado.","Así las cosas, el desafío del Gobierno del presidente Mario Abdo Benítez con relación a Itaipú a partir del 2023 aparece puntualmente muy simple: hacer efectiva la igualdad de derechos consagrada en el Artículo III del Tratado."
train,abc,Ko'ã paraguayo ha paraguaya oñemantene en guardia defensa orekóva intereses ohóva Paraguái ko emprendimiento binacional rehe.,Los paraguayos y las paraguayas deben mantenerse en guardia para la defensa de los intereses que le corresponden al Paraguay en este emprendimiento binacional.
train,abc,"Úmi ojepostulaséva beca Itaipu reheguáva, oñeinskriviva'erã 21 jasyteî meve",Postulantes a becas ITAIPU podrán inscribirse hasta el 21 de enero
train,abc,"Arakõi guive oñembohape formulario de inscripción electrónica www.itaipu.gov.py/becas ojepostula Becas Itaipu 2019, ikatu avei oñeinskrivi ko tendápe.",Desde el lunes último está habilitado el formulario de inscripción electrónica en www.itaipu.gov.py/becas para postular a las Becas ITAIPU 2019.
train,abc,Oñandu umi forense oike ohecha umi víctima cuerpo ohekávo ñe'ê fatal accidente-gui.,Añadió que ahora los forenses proceden a verificar los cuerpos de las víctimas para buscar algún mal estado en la salud de los mismos poco antes de producirse el fatal accidente.
train,abc,"“Ndoroikuaái mba'égui ou pe accidentel vaaiete;ha'e guive oblema mecánico o si el piloto sufrió algún problema de salud”, explicó a medios de prensa.","“Hasta ahora desconocemos las causas del accidente; si fue un problema mecánico o si el piloto sufrió algún problema de salud”, explicó a medios de prensa."
train,abc,MOPC odispone regla pyahu licitaciones cartera omyakãvape,MOPC dispone nuevas reglas para las licitaciones de su cartera
train,abc,"Ministerio de Obras Públicas y Comunicaciones omopyenda peteî procedimiento pyahu licitaciones mboguataharã, ojehechavo oñemotenonde porãn haguã hekoitépe Comité de Evaluación rupive.",El Ministerio de Obras Públicas y Comunicaciones estableció un nuevo procedimiento para las licitaciones.
train,abc,Ojejerúre Junta Aclaratoria conformación.,También se dispuso la conformación de la Junta de Aclaratoria.
train,abc,Ko'ã resolución odisponéva ha omboguatáva lunes 10 de junio guive.,Las disposiciones de la resolución entrarán en vigencia el próximo lunes 10 de junio.
train,abc,"""Roipota tavaygua omotenonde garantía ko'ã administración omba'apóvo interes ÿre, omyesakãvo omopyenda haguã obra de calidad gente-pe guarã"", he'i ministro Arnoldo Wiens upéva rehe.","""Queremos darle a la ciudadanía la garantía de que en esta administración queremos trabajar sin intereses, con transparencia, para construir obras de calidad para la gente"", expresó el ministro Arnoldo Wiens al respecto."
train,abc,Omopyenda arapokõindy oýuva guive umi oiméva comité evaluación ojeporavóva mediante resolución ha ombopyahúva ñehenói ojejapova'erãva.,Se estableció que a partir de la próxima semana los integrantes de los comités de evaluación sean designados mediante resolución y la renovación de los mismos será obligatoria para cada llamado.
train,abc,"Ko'ãva ha'e umi comité oimehápe profesionales idóneos, representante dirección Financiera, Jurídica ha Unidad Técnica oîháicha.","Los integrantes de estos comités deberán ser profesionales idóneos, representantes de las direcciones Financieras, Jurídicas y Unidades Técnicas."
train,abc,Upéicha avei Junta Aclaratoria oñatendéva ohenóiva umi oferente.,"Además, se dispuso la conformación de una Junta de Aclaratoria para atender las consultas de los oferentes."
train,abc,Ojehechávo resolución ko'ã taícha ojapóva pliego de base ha omoïva condición.,También serán designadas por resolución las personas que elaborarán los pliegos de bases y condiciones.
train,abc,Ko'ãva ohustifika Junta Aclaratoria oimehápe ko'ã criterio oiporúva ha orekóva costo oestimáva pliego oïva.,Estos deberán justificar ante la Junta Aclaratoria los criterios utilizados y los costos estimados en los pliegos.
train,abc,Upéicha rupi ko ordenanza ministerio-pegua oimehápe resoluciones oñemohenda ñehenói licitación ndojepublicáiva Sistema de Información de Contrataciones Públicas (SICP) rupi.,Según la ordenanza del ministerio dichas resoluciones deberán aplicarse a todos los llamados a licitación que aún no han sido publicados en el Sistema de Información de Contrataciones Públicas (SICP).
train,abc,Ñe'ëpoty planeta rehehápe,Un poema a favor del planeta
train,abc,Arai iñipytüvaíva ojaho'i Palacio de López omomarandúva okytáha ha yvytu hatã ange pyhare ojaho'íva.,Densos nubarrones se levantan sobre el Palacio de López como preludio de las lluvias y tormentas que empezaron anoche.
train,abc,"Naturaleza oipy'aha “ñe'êpoty” ára pa'üme sede gubernativa iñipytû ojoajúvo “Planeta Aravo”, omoñepyrûva mundialmente omboakãngeta haguã cambio climático.","La naturaleza compuso un “poema” en momentos en que la sede gubernativa estaba a oscuras en adhesión a la “Hora del Planeta”, iniciativa mundial para concienciar sobre el cambio climático."
train,abc,Oipykúi ANDE omboguéva avei.,Luego siguió con los apagones de ANDE.
train,abc,Miembros de la Comisión Escrache Ciudadano oñemanifesta ko viernes diputado Miguel Cuevas róga renondépe.,Miembros de la Comisión Escrache Ciudadano se manifestaron este viernes frente a la residencia del diputado Miguel Cuevas.
train,abc,Ojerúre titular Cámara Baja oñeimputa ha to'a hese tukumbo delito orekóva rehe.,Exigen que el titular de la Cámara Baja sea imputado y condenado por sus delitos.
train,abc,Sapukái oñehendu “imputación” peteî manifestante-kuéra oiméva diputado Miguel Cuevas róga rovái.,Al grito de “imputación” un grupo de manifestantes se encuentra frente al domicilio del diputado Miguel Cuevas.
train,abc,"Poyvi, kártel, globoita ha peteî megáfono oguereko umi escrachador-kuéraa ha oempapela papel higiénico-pe hoga rovái.","Con banderas, carteles, globos y un megáfono los escrachadores se apostaron en la cuadra donde se sitúa la casa del legislador, a la que empapelaron desde afuera con papel higiénico."
train,abc,"he'i Maria Esther Roa omyalkãva manifestación opoíha peteî marandu Ministerio Público-pe, tojapo hembiapo.","“Nosotros vamos a hacer esta manifestación pero con un claro mensaje para el Ministerio Público, necesitamos ver ya la imputación, ya pasó mucho tiempo, ya se vieron muchas pruebas”, mencionó Maria Esther Roa, líder de la agrupación."
train,abc,Ojeaplasapaite umi mbo’ehára aranduchaukápe ome’êva MEC oñemba’apo haguã,Aplazos masivos de docentes postulantes a cargos en el MEC
train,abc,ABC Color ohecha aranduchauka ha ojeaplasa haimete 50% postulante oikéva Banco de Elegibles Ministerio de Educación y Ciencias reheguávape.,ABC Color accedió al examen en que se aplazó casi el 50% de los postulantes a formar parte del Banco de Elegibles del Ministerio de Educación y Ciencias.
train,abc,"Ko prueba oreko 40 porandu, oiméva oñemedi haguã mba’éichapa ohechakuaa ha oñandu omoñe’êva umi mbo’ehára.","La prueba consta de 40 preguntas, consignadas a medir el nivel de interpretación de contenidos de textos."
train,abc,Ko aranduchaukápe umi mbo’ehára oiporavova’erã umi porandu selección múltiple rupive.,Los docentes debían seleccionar su respuestas de las opciones específicas (selección múltiple).
train,abc,"""Esquema"" omosãsõ narco-kuérape CDE gotyo","""Esquema"" para liberar a narcos en CDE"
train,abc,Esquema judicial ome'êva sãso ha ñangareko narcotraficante oiméva mafia ogosáva tesãi Alto Paranáme.,El esquema judicial para dar protección y libertad a los narcotraficantes es una mafia que sigue gozando de buena salud en Alto Paraná.
train,abc,"Ko'ãva, esquema omyakãva juez de sentencia, ojoajúva abogado ha fiscal antidroga-guakuéra ndive","Según los datos, el esquema es comandado por un juez de sentencia, en confabulación con abogados y fiscal antidrogas."
train,abc,"Mes ohasáva, peteî tribunal opói chugui, isãso mokõi presunto narco.","El mes pasado, un tribunal absolvió de culpa y pena a dos presuntos narcos."
train,abc,Péicha jueces ha ojoajúva abogado defensor omohendáva ínfima condena peteî policía ojeapresa cocaína ojejuhúgui hese.,Los mismos jueces y con la coincidencia del mismo abogado defensor se aplicaron una ínfima condena a un policía detenido con cocaína.
train,abc,"21 jasypo ohasáva, tribunal colegiado ojoajúva jueces, Carlos Vera Ruiz, Marino Méndez ha Mirta Aguayo oabsolve de culpa ha pena mokõi presunto narco.","El 21 de mayo pasado, el tribunal colegiado integrado por los jueces, Carlos Vera Ruiz, Marino Méndez y Mirta Aguayo absolvieron de culpa y pena a dos presuntos narcos."
train,abc,"Jueza Aguayo ovota disidencia rehe, he'iséva, okondenágui mokõi sospechoso.","La jueza Aguayo había votado en disidencia, es decir, por la condena de los sospechosos."
train,abc,"Ko'ã encausado, exfuncionario Poder Judicial Abraham Galeano Villar (30) ha ingeniero Jorge Rolando Aponte Rodríguez (35) ojeapresa 1 kilo ha 115 gramo cocaína, 15 de julio 2017, kóva peteî estación servicios omohendáva oikévo Paraná Country Club Hernandarias-pe.","Los encausados, el exfuncionario del Poder Judicial Abraham Galeano Villar (30) y el ingeniero Jorge Rolando Aponte Rodríguez (35) fueron detenidos con 1 kilo y 115 gramos de cocaína, el 15 de julio del 2017, en una estación de servicios ubicada a la entrada del Paraná Country Club de Hernandarias, durante una entrega vigilada."
train,abc,"Ko'ã jueces, Vera y Méndez he'i hikuái ndohechaukáiva procesado ha omohendáva oñepyrûvo ""in duvio pro reo"" he'íva oïvo duda oñeipytyvõva'erã encausado.","Los jueces, Vera y Méndez alegaron que no se demostró la autoría de los procesados y aplicaron el principio de ""in duvio pro reo"" que señala que en caso de duda se debe favorecer al encausado."
train,abc,He'i peteî tekove oïva vigilado ha ndikatúi avave omyeasãi participación omoheñóiva jerovia'ÿ.,Dijeron que una tercera persona apareció en la escena de la entrega vigilada y nadie explicó su participación lo que les generó la duda.
train,abc,Kuñakarai oipyaháva Silvana ao he'i: “Avavave nomomba'éi ñandutí”,La tejedora de Silvana: “Nadie valora el ñandutí”
train,abc,"Estefana Benegas “Hospital del Ñandutí” jára ha'e omoî umi aplique primera dama ao, ha'anga herakuãva mundo rehe.","Estefana Benegas es la dueña del “Hospital del Ñandutí” y fue la encargada de colocar los apliques al vestido de la primera dama, cuya foto recorrió el mundo."
train,abc,Kuñakarai artesana ombyasy paraguayo-kuéra ndovalorái ko tembiapo ojeipyaháva,La artesana lamenta que los paraguayos no valoren el ñandutí.
train,abc,“Avave ndovalorái ñandutí.,“Nadie valora el ñandutí.
train,abc,"Ni cinco mil guaraníes ndopagaséi”, he'i Estefana Benegas, artesana omohendáva umi aplique ñanduti primera dama, Silvana López Moreira ao rehe, hetápe ombojurujái asunción presidencial-pe, tetã ambuére.","Ni cinco mil guaraníes quieren pagar”, señala Estefana Benegas, la artesana que colocó los apliques de ñanduti al vestido que la primera dama, Silvana López Moreira, usó en la asunción presidencial, prenda que causó gran impacto incluso a nivel internacional."
train,abc,Turbina oñemyatyrõva oñemomba'apo jeýma,Turbina reparada volvió a operar
train,abc,"Ohasa rire seis meses oîva fuera de servicio, ko ararundy jave oñemomba'apo turbina represa Yasyretã, reparación programada.","Tras seis meses fuera de servicio, este miércoles se puso en funcionamiento una de las turbinas de la represa Yacyretá, que fue objeto de una reparación programada."
train,abc,"Ohasa rire 18:50 ko miércoles, ou jey servicio-pe Unidad generadora Nº 17 Central Hidroeléctrica Yacyreta (CHY).","Poco después de las 18:50 de este miércoles, retornó a servicio la Unidad generadora Nº 17 de la Central Hidroeléctrica Yacyreta (CHY)."
train,abc,Ko turbina oñembyai kuri noviembre 2017 jave oñeprograma ikatu haguã oñemyatyrõ Anillo de Descarga del Tubo de Aspiración ha mantenimiento completo.,La turbina salió de servicio en noviembre de 2017 de forma programada para ser sometida a la reparación definitiva del Anillo de Descarga del Tubo de Aspiración y para mantenimiento completo.
train,abc,"Equipo generador, oñemomba'apo a prueba orekóva 155 MW 00:00 jueves ára peve, ha ndaipórirõ inconveniente, ojedeklara operación comercial.","El equipo generador, será sometido a pruebas con 155 MW hasta las 00:00 día del jueves, y de no surgir algún tipo inconvenientes, se estaría declarando en operación comercial."
train,abc,"Ágã 08 de mayo 2018, oñeprograma, ha oime fuera de servicio turbina Nº 13.","Desde el 08 de mayo 2018, de forma programada, se encuentra fuera de servicio la turbina Nº 13."
train,abc,"Ojekuaa avei oïha reparación upe Anillo de Descarga, ha Tubo de Aspiración.","El equipo está siendo sometido a la reparación definitiva del Anillo de Descarga, también del Tubo de Aspiración."
train,abc,Oje'e ojehecháta octubre oúvape ae oñemoî haguã definitivo oî porã rire.,"El retorno a servicio, está previsto para octubre del presente año."
train,abc,"""Ñugui osê ohóvo tapicha""","""El campo se está despoblando"""
train,abc,"Pa'i Parroquia Santa Ana ha San Joaquin Azote'y, Pablo Cáceres, he'i que ojedespobla phóvo táva okahárape oikóva, heta campesino oheja ijyvy ha ovende","El párroco de la Parroquia Santa Ana y San Joaquin de Azote'y, Pablo Cáceres, afirma que el campo se está despoblando, debido a que los campesinos abandonan sus tierras al venderlas para emigrar a las ciudades en búsqueda de trabajo."
train,abc,"Religioso he'i umi chokokue osegi oikuave'ê lote ha ou tavaguasu gotyo, hetave ko'ágã cinturon de pobreza, ha mitãrusukuéra oúva tavaguasúgui ha ambue osê chuguikuéra patotero, prostituta, drogadicto ha ikatu ndorekovéi hi'upyrã.","El religioso dijo que si los campesinos contínúan vendiendo sus lotes y se trasladan a las urbes, aumentarán los cinturones de pobreza, y los jóvenes que vengan a esta ciudad y otras se convertirán en patoteros, prostitutas, drogadictos y no tendrán qué comer."
train,abc,"He'i mboriahu ojeipyso, delincuencia okakuaa ha monda, ha opáichagua hecho delictivo py'ÿi ojehu tetãme.","Señaló que a consecuencia de la pobreza que crece, la delincuencia aumenta y los robos, asaltos y otros hechos delictivos son constantes en casi todo el país."
train,abc,"Cáceres omombe'u Ministerio de Educación y Ciencias ha Ministerio de Agricultura y Ganadería omopyendava'erã educación agraria oiporúvo umi técnica pyahu ikatu haguã chokokue anitei omboyke yvy, kóva tekombo'e ha'e pe tape omboguatáva ikatu haguã ko'ã familia osê mboriahúgui.","Cáceres manifestó que el Ministerio de Educación y Ciencias y el Ministerio de Agricultura y Ganadería deben fomentar la educación agraria con las nuevas técnicas para que los campesinos no abandonen sus tierras, porque la educación es el único camino para que las familias rurales salgan de la pobreza."
train,abc,"Pa'i Pablo Cáceres, ojerúre mitãrusu pyahu campesino-kuérape anitei omaña kokue rehente sino toñemoarandu oreko haguã trabajo, tavaguasúre avei oñeikotevê tapicha orekóva oficio, oñeikotevê peinadora, plomero, electricista ha ambue servicio ha tembiapo ñembokatupyry.","Por otra parte, instó a los jóvenes campesinos que no miren solamente la chacra sino que se capaciten en algunos oficios para tener trabajo, porque en las localidades rurales también se necesitan peinadoras, plomeros, electricistas y otros servicios."
train,abc,Ndikatúi oguahê hikuái escrachador-kuéra Velázquez róga peve,No permiten a escrachadores llegar hasta casa de Velázquez
train,abc,"Manifestante Comisión Escrache-guakuéra oguahêsemo’ã vicepresidente Hugo Velázquez róga gotyo opytáva barrio Los Laureles de Asunción, policía ohapejoko omoîka valla metálica ha umi agente ojoko umi ohasasévape.","Un grupo de manifestantes de la Comisión Escraches intentó llegar hasta la residencia del vicepresidente Hugo Velázquez en el barrio Los Laureles de Asunción, pero la policía se lo impidió colocando vallas metálicas y agentes para impedir el avance."
train,abc,"UMi tavaygua oñohenói ha oguahë Hugo Velázquez, róga peve oîva Isaac Kostianosky 6060 oñeguahëvo R.I. 3 Corrales, pero ndikatúi oguahê umi Policía ojokógui.","Un grupo de ciudadanos se convocó para llegar a la vivienda de Velázquez, ubicada en Isaac Kostianosvky 6060 casi RI 3 Corrales, pero no pudieron hacerlo debido a que la Policía se lo impidió."
train,abc,"Oreko kártel ha tradicionales rollo papel higiénico, ko’ã grupo oipykúi manifestaciones ohóva gobierno ramo referente.","Con carteles y los tradicionales rollos de papel higiénico, el grupo continuó con la seguidilla de manifestaciones contra referentes del gobierno."
train,abc,"Abdo Benítez oime hikuái ko atýpe empresario Víctor González Acosta avei Beltrán Macchi ha periodista Luis Bareiro, oiméva FEEI atýpe.","En la reunión con Abdo Benítez participaron, entre otros, los empresarios Víctor González Acosta y Beltrán Macchi y el periodista Luis Bareiro, integrantes del FEEI."
train,abc,"Oñeporandúvo mba'éichapa omyakã, González Acosta he'i ha'eha peteî conformación de consejos de desarrollo ikatu haguã oimembaite hikuái ko proceso de debate-pe.","Consultado acerca de más detalles de la iniciativa, González Acosta explicó que se trata de la conformación de consejos de desarrollo para que todos participen en el proceso de debates."
train,abc,Omombe'u avei oñomongetahague Abdo ndive omosãsõ haguã proceso de transformación educativa.,El empresario señaló que le solicitaron a Abdo que lidere el proceso de transformación educativa.
train,abc,"Ikatu haguã ojeguereko Cruzada nacional, mitã, kakuaa ha umi mitãrusu ha mitãkuña oiméva actores claves del desarrollo.","Indicó que la educación debe convertirse en una cruzada nacional, para que los niños y jóvenes se conviertan en actores claves del desarrollo."
train,abc,Péva oipy'apýgui chupekuéra informe organismo internacional imandu'ava Paraguái rehe he'ívo 6 de cada 10 mitã ndikatúi omohu'ã colegio.,Recordó que los últimos informes de organismos internacionales refieren que en el Paraguay 6 de cada 10 chicos no pueden terminar el colegio.
train,abc,"González Acosta omyesakã proceso oñeha'ãva reforma total integral upe proceso tekombo'épe, malla curricular ha énfasis especial oñembo'évo mbo'ehára atýpe.","González Acosta explicó que el proceso que se pretende encarar contempla la reforma total integral del proceso de la educación, como la malla curricular y un énfasis especial en la formación docente."
train,abc,"""Jaguerekova'erã peteî educación oñemopyendáva tecnología-pe, roapuntava'erã educación de calidad ha equidad"", he'i.","""Tenemos que tener una educación basada en tecnología, tenemos que apuntar a una educación de calidad y equidad"", expresó."
train,abc,Omopu'ã sanción frigorífico-pe,Levantan sanción a frigorífico
train,abc,"Senacsa omohu'ã ko martes Frigorífico Concepción nomondói so'o paraguái oñemondóva Brasil, upévare ojeexporta.","Senacsa concluyó este martes que Frigorífico Concepción no reexportaba como paraguaya la carne importada del Brasil, por lo cual le permitirán nuevamente exportar."
train,abc,Oñemohenda ha ombotovéva ojejapóva importación.,Se aplicó además una prohibición para que compren carne del exterior por un año.
train,abc,"Presidente Servicio Nacional de Calidad y Salud Animal (Senacsa), Fredis Estigarribia, oikuaauka sanciones omohendáva institución ipoguýpel Frigorífico Concepción, oinvestigáva oimporta so'o brasileña permiso'ÿre Senacsa.","El ministro de Agricultura, Luis Gneiting, dio a conocer las sanciones que aplicó la institución a su cargo al Frigorífico Concepción, investigada por importar carne brasileña sin el permiso del Senacsa."
train,abc,Oike ha ombotove peteî ary so'o importación Frigorífico Concepción.,Comentó que se prohibió por un año la importación de carne por parte de Frigorífico Concepción.
train,abc,"Pe 7 de mayo ára ohasava'ekue oñesuspende ko so'o jehepyme'ê umi pokõi mercado guasúpe tetã ambuére, ha oî arange omotenondéva pérdida 30 millones de dólares.","Añadió que desde el pasado 7 de mayo esta firma tiene suspendida la venta de sus productos a los siete mercados que tenía en el exterior, y que hasta la fecha ya representa para la misma una pérdida de unos 30 millones de dólares."
train,abc,"“Kóva peteî sanción mbarete”, he'i Estigarribia rueda de prensa Ministerio de Agricultura y Ganadería omyakãva.","“Esa es una sanción muy fuerte”, expresó Gneiting en rueda de prensa en el Ministerio de Agricultura y Ganadería."
train,abc,"He'i, ko'ã factura mymba ojoguáva ha ambue documento faenamiento reheguáva, omohu'ã frigorífico nomondóiha so'o Brasil gotyo.","Dijo además que, mediante las facturas de compra de animales y otros documentos de faenamiento, concluyeron que este frigorífico no reexportaba la carne que importaba del Brasil."
train,abc,Upévare omopyenda cronograma oavilitáva pokõi mercado orekóva Frigorífico Concepción.,Por ello es que establecerán un cronograma para habilitar nuevamente los siete mercados que tenía Frigorífico Concepción.
train,abc,"Servicio de información 112, Compañía Paraguaya de Comunicaciones (Copaco) ojeporu katuete, ko'ágã heta oikuaséva número telefónico, empresa o instituciónha umívape romombe'u.","El servicio de información 112, de la Compañía Paraguaya de Comunicaciones (Copaco) no ha dejado de estar vigente, a pesar de que hoy hay muchas otras formas de conseguir el número telefónico de una persona, empresa o institución."
train,abc,"Ko'ágã ehenói 112, ha yma 12, ha'eva'ekue número de teléfono ñahenói ha ñaikotevêvo ombohasa ñandéve ambue usuario compañía-gua ndive.","El 112, o hasta hace unos años el 12, era el número de teléfono al cual discar cuando uno tenía necesidad de contactar con otro usuario de la compañía."
train,abc,Ko'ágã ikatu reguereko upe informaciónnatekotevêi ehenói ndeéte eheka Internet-pe.,"Hoy se puede obtener la misma información sin necesidad de discar este número, simplemente buscándolo en Internet."
train,abc,"Oñemotenonde 50.000 m² exposición ha 700 marca rupi oî, oñepyrû 12:00 aravo guive 21:00 aravo peve ha ojeipyso viernes oúva peve.","En 50.000 m² de exposición y con más de 700 marcas, abre la muestra a partir de las 12:00 hasta las 21:00 y se extiende con ese mismo horario hasta el viernes."
train,abc,"Ko arapokõindýpe oñepyrû pyhareve 10:00 a 21:00 aravo ha oguerohorýva ko'ã mba'e ikatu oguahë Parque Olímpico Comité Olímpico Paraguayo (Luque)-pe, ojeike libre ha gratuito.","El fin de semana, el horario de la feria será de 10:00 a 21:00 en el Parque Olímpico del Comité Olímpico Paraguayo (Luque), donde el acceso es libre y gratuito."
train,abc,Ojerúre pytyvõ yvy iporãve haguã ñemitÿrã,Piden apoyo para mejoramiento de suelos
train,abc,Ko'ã productor sandía ko távape ojerúre pytyvõ Ministerio de Agricultura (MAG) omotenonde haguã plan de mejoramiento yvy reheguávaha omohenda porãve haguã producción,"Productores de sandía de esta localidad pidieron ayuda al Ministerio de Agricultura (MAG) para llevar adelante un plan de mejoramiento de suelos, y con ello mejorar la productividad."
train,abc,"“Yvy naiporãvéimái 15 ary rupi”, he'i presidente Comité de Productores, Gilney Fin.","“El suelo ya no es fértil como hace 15 años”, dijo el presidente del Comité de Productores, Gilney Fin."
train,abc,"Ko'ápe viceministro MAG-pegua, Nicasio Romero, ome'ê iñe'ê oipytyvõ haguã secretaría de Estado.","Entretanto, el viceministro del MAG, Nicasio Romero, comprometió el apoyo de esta secretaría de Estado."
train,abc,"Omyakãva productor omomba'e guasu pytyvõ oguahëva ko'ã organismo estatal kóva umi ombosako'íva yvy, oipytyvõva productor tembiapo ñemitÿme, omoîva tekotevê tembiapo omoañetéva ha omohypy'üva recuperación umi chacra omyatyrõvo productividad, tembiapo he'íva, noipytyvõiva ha omoirûva Ministerio del ramo ndikatumo'ãi oñeguahëosible.","El dirigente de productores destacó el apoyo que reciben de los organismos estatales en materia de preparación de suelos, lo que les facilita a los productores la tarea de cultivo, pero puso de manifiesto la necesidad de un trabajo sostenido y profundo en materia de recuperación de las chacras para mejorar su productividad, tarea en la que, dijo, sin el apoyo y acompañamiento del Ministerio del ramo será imposible."
train,abc,He'i hikuái oñemomba'ese yvy tierras dadas por Indert,Acusan de intento de apropiación de tierras dadas por Indert
train,abc,"Peteî poblador tavaygua ojeheróva San Ramón, Itanarâ-gua, departamento Kanindeju, odenunsia peteî colono brasileño ojogua pyvy pehengue colonia ome'êva'ekue Indert-gui.","Uno de los pobladores de la localidad denominada San Ramón, de Itanarã, departamento de Canindeyú, denuncia que un colono brasileño habría adquirido gran parte de la colonia que había sido entregada por el Indert."
train,abc,Acusado onega ojogua haguã.,El acusado negó la compra.
train,abc,"Brasileño Valdemir Dos Santos Pereira, alias “Perna”, he'íva oikuaáva ikuatia ky'a hetãme, orekóha doble nacionalidad ha upéva rehe oreko cédula paraguaya.","Se trata del brasileño Valdemir Dos Santos Pereira, alias ""Perna"", quien según nuestra fuente estaría contando con frondosos antecedentes en su país, pero que tendría doble nacionalidad y, por ende, una cédula paraguaya."
train,abc,"He'i hikuái orekóha dato extraoficial, oîha protegido diputada colorada Cristina Villalba de Abente ogueroviágui ndikatúiha ojepoko hese “intocable” upe tendáre ha oreko umi policía fronteriza protección.","Refieren los datos extraoficiales, que el mismo sería protegido de la diputada colorada Cristina Villalba de Abente, por lo que es considerado ""intocable"" en la zona y cuenta con la protección de los policías de la fronteriza ciudad."
train,abc,"Mario Martínez, ymaite umi antiguo poblador tavaygua, omyesakã orekóva tesaráipe gobierno, “brasileño ojekuaáva Perna oiméva yvy jogua comunidad, gente oikuave'ê, opáichagua sector, haimete 600 hectárea rupi, ore rojogua rorecupera yvy oremba'éva, ndoroguerekovéima ningo roñemitÿ haguã”, he'i.","Mario Martínez, uno de los antiguos pobladores de la comunidad, explicó que se siente abandonados por el gobierno, ""el brasileño conocido como Perna está comprando ya toda la comunidad, la gente vende, en diferentes sectores está comprando, alrededor de 600 hectáreas, nosotros queremos recuperar de nuevo nuestras tierras, ya no tenemos tierras para cultivar"", indicó."
train,abc,"He'i planta urbana oime población, “ko'ã tapicha oikuave'êva ha ováva ko tendágui, oñemopyenda Kuruguaty gotyo, roikotevê Indert ou ko'ã tendáre ikatu haguã ointervenir, ko'ápe brasileño opaga 70 a 80 millones de guaraníes 10 hectárea, colonia 20 ary rupi oime hague ko távape”, he'i poblador.","Señaló que solamente la parte donde se encuentra la planta urbana existen poblaciones, ""las personas que venden se mudan del lugar, se instalan hacia la zona de Curuguaty, necesitamos que el Indert venga a la zona para que puedan intervenir, acá el brasileño paga 70 a 80 millones de guaraníes por diez hectáreas, esta colonia tienen más de 20 años"", señaló el poblador."
train,abc,"Ko asentamiento oiméva 15 kilómetros casco céntrico tavaguasu Itanarâme, oime peteî mbo'ehao mbovymi temimbo'e, upéicha peteî capilla ikatúva okañy taha'e ha'éva, oimehápe parte urbana oiméva brasileño, ko'ápe oime 25 familia oñemohatãva oikuave'êvo yvy, he'i hikuái.","En el mencionado asentamiento ubicado a unos 15 kilómetros del casco céntrico de la ciudad de Itanarã, existe una sola escuela con pocos alumnos, además de una capilla que pueden desaparecer en cualquier momento, hasta la parte urbana está queriendo comprar el brasileño, pero allí existen 25 familias que se resisten a vender, dijeron."
train,abc,Péicha umi chokokue noñe'êséi prensa ndive okyhyjégui “Perna”-gui.,"La mayoría de los labriegos no quieren hablar con la prensa por temor a ""Perna""."
train,abc,He'i ndojoguáiha yvy,NEGÓ LA COMPRA
train,abc,"Roñomongetávo celular rupive Valdemir Dos Santos ndive, he'i ndojoguáiha colonia San Ramón.","En conversación a través del celular con Valdemir Dos Santos, este negó haber comprado la colonia San Ramón."
train,abc,"Japu, péva he'i.","Es una mentira, señaló."
train,abc,"Ojeguatávo upe tendáre ojehechakuaáma, ha'eha peteî parte de la colonia estancia ko'ágã oiko chugui.","A simple vista, durante un recorrido se aprecia que parte de la colonia ya fue convertida en estancia."
train,abc,Oñeha'ãrõ Indert ointerveni he'i umi tavaygua.,Se espera que el Indert intervenga en la denuncia de los lugareños.
train,abc,"Tape ojeguerekóva ningo Cartes ha Riera, chupe guarã","Opciones, solo Cartes y Riera"
train,abc,"Diputado cartista Derlis Maidana, Misiones, he'i tendota Honor Colorado expresidente Horacio Cartes, jepénte omoañete Enrique Riera ha ambue candidato orekóva titularidad Junta de Gobierno ANR.","El diputado cartista Derlis Maidana, de Misiones, dijo que el líder natural de Honor Colorado es el expresidente Horacio Cartes, aunque reconoció a Enrique Riera como otro candidato para la titularidad de la Junta de Gobierno de la ANR."
